Date,Open,High,Low,Close
01/20/2020,"50.15","50.15","49.20","49.10"
01/17/2020,"50.75","51.10","50.40","50.10"
01/16/2020,"52.20","52.20","50.90","50.75"
01/15/2020,"53.00","53.25","52.25","52.25"
01/14/2020,"54.85","54.85","53.40","53.05"
01/13/2020,"55.00","55.30","54.50","55.35"
01/10/2020,"54.35","54.55","54.10","54.50"
01/09/2020,"53.75","54.25","53.75","54.10"
01/08/2020,"54.30","54.30","53.75","53.80"
01/07/2020,"53.70","53.80","53.45","53.85"
01/06/2020,"54.50","54.55","53.60","53.75"
01/03/2020,"54.00","54.00","54.00","54.20"
01/02/2020,"54.05","54.05","54.05","53.80"
12/31/2019,"54.05","54.05","54.05","54.05"
12/30/2019,"53.90","53.90","53.90","53.90"
12/27/2019,"53.50","53.50","53.50","53.50"
12/26/2019,"53.20","53.20","53.20","53.20"
12/25/2019,"53.20","53.20","53.20","53.20"
12/24/2019,"53.20","53.20","53.20","53.20"
12/23/2019,"52.75","52.75","52.75","53.40"
12/20/2019,"53.45","53.45","53.45","53.45"
12/19/2019,"53.35","53.35","53.35","53.35"
12/18/2019,"53.50","53.50","53.50","53.50"
12/17/2019,"53.50","53.50","53.50","53.50"
12/16/2019,"53.50","53.50","53.50","53.50"
12/13/2019,"53.70","53.70","53.70","53.60"
12/12/2019,"53.75","53.80","53.60","54.00"
12/11/2019,"53.50","53.50","53.50","53.50"
12/10/2019,"53.50","53.50","53.40","53.60"
12/09/2019,"53.80","53.80","53.80","54.20"
12/06/2019,"54.70","54.70","54.30","54.35"
12/05/2019,"55.50","55.70","55.20","55.20"
12/04/2019,"56.10","56.20","56.10","56.00"
12/03/2019,"56.75","56.75","56.40","56.40"
12/02/2019,"57.25","57.25","57.15","57.30"
11/29/2019,"58.30","58.75","58.30","58.65"
11/28/2019,"58.90","58.90","58.60","58.50"
11/27/2019,"59.00","59.60","59.00","59.25"
11/26/2019,"58.90","59.00","58.50","58.95"
11/25/2019,"60.00","60.50","59.00","59.10"
11/22/2019,"59.00","60.25","59.00","59.25"
11/21/2019,"58.55","58.90","58.55","58.95"
11/20/2019,"57.50","58.40","57.50","58.15"
11/19/2019,"56.25","57.50","56.25","57.50"
11/18/2019,"56.75","56.90","55.95","56.00"
11/15/2019,"57.20","57.40","57.20","57.50"
11/14/2019,"56.90","57.40","56.65","57.30"
11/13/2019,"56.50","57.00","56.50","56.95"
11/12/2019,"56.00","56.75","55.85","56.90"
11/11/2019,"57.50","57.50","56.25","56.35"
11/08/2019,"57.80","57.80","57.45","57.10"
11/07/2019,"57.65","58.00","57.65","57.90"
11/06/2019,"58.45","58.45","57.45","57.65"
11/05/2019,"58.60","59.00","58.60","58.70"
11/04/2019,"58.00","58.30","57.80","58.25"
11/01/2019,"58.50","58.80","58.50","58.70"
10/31/2019,"57.50","57.90","57.25","58.00"
10/30/2019,"58.60","58.65","57.60","57.75"
10/29/2019,"57.80","58.00","57.80","58.00"
10/28/2019,"58.15","58.15","57.50","57.85"
10/25/2019,"60.15","60.15","60.15","60.15"
10/24/2019,"59.90","59.90","59.90","59.90"
10/23/2019,"60.15","60.15","60.15","60.15"
10/22/2019,"60.15","60.15","60.15","60.15"
10/21/2019,"60.10","60.10","60.10","60.10"
10/18/2019,"60.00","60.00","60.00","60.00"
10/17/2019,"60.10","60.10","60.10","60.10"
10/16/2019,"60.25","60.25","60.25","60.25"
10/15/2019,"61.00","61.00","60.50","60.43"
10/14/2019,"60.75","60.75","60.70","60.92"
10/11/2019,"61.00","61.00","60.50","60.75"
10/10/2019,"60.70","60.70","60.70","60.70"
10/09/2019,"61.50","61.50","61.00","60.75"
10/08/2019,"60.25","61.20","60.25","61.30"
10/07/2019,"60.25","60.25","60.25","60.25"
10/04/2019,"59.65","59.65","59.65","59.65"
10/03/2019,"59.50","59.50","59.50","59.20"
10/02/2019,"59.80","59.80","59.80","59.40"
10/01/2019,"59.25","60.00","59.25","60.00"
09/30/2019,"59.80","60.50","59.50","60.90"
09/27/2019,"60.40","60.40","60.40","60.40"
09/26/2019,"60.90","60.90","60.90","60.90"
09/25/2019,"60.25","60.25","60.25","60.25"
09/24/2019,"61.00","61.00","61.00","61.00"
09/23/2019,"60.90","60.90","60.90","60.90"
09/20/2019,"61.25","61.25","61.25","61.25"
09/19/2019,"60.90","60.90","60.90","60.90"
09/18/2019,"61.05","61.05","61.05","61.05"
09/17/2019,"61.55","61.55","61.55","61.55"
09/16/2019,"61.75","61.75","61.75","61.75"
09/13/2019,"61.25","61.25","61.25","60.95"
09/12/2019,"60.75","60.75","60.75","60.75"
09/11/2019,"60.30","60.30","60.30","60.45"
09/10/2019,"60.00","60.00","60.00","60.65"
09/09/2019,"58.20","58.20","58.20","58.40"
09/06/2019,"57.50","57.50","57.50","57.65"
09/05/2019,"57.20","57.20","57.20","57.40"
09/04/2019,"57.10","57.35","56.80","56.75"
09/03/2019,"55.40","57.00","55.40","56.95"
09/02/2019,"53.95","55.40","53.75","55.30"
08/30/2019,"54.05","54.05","54.05","54.05"
08/29/2019,"52.00","53.95","52.00","54.05"
08/28/2019,"53.00","53.00","51.50","51.95"
08/27/2019,"54.50","54.50","52.30","52.75"
08/26/2019,"54.65","54.65","54.65","54.65"
08/23/2019,"55.00","55.00","54.90","54.65"
08/22/2019,"55.50","55.60","55.40","55.40"
08/21/2019,"55.70","56.00","55.50","55.50"
08/20/2019,"57.10","57.35","56.00","56.00"
08/19/2019,"57.00","57.00","56.70","56.85"
08/16/2019,"57.60","57.60","57.00","57.15"
08/15/2019,"58.10","58.10","57.50","57.65"
08/14/2019,"58.65","58.65","58.30","58.65"
