Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.D.USD.EUR.SP00.A
,EXR.D.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
date,value,status
2004-04-12,-,Missing value; holiday or weekend (H)
2004-04-09,-,Missing value; holiday or weekend (H)
2004-04-08,1.2096,Normal value (A)
2004-04-07,1.2101,Normal value (A)
2004-04-06,1.2090,Normal value (A)
2004-04-05,1.2058,Normal value (A)
2004-04-02,1.2318,Normal value (A)
2004-04-01,1.2320,Normal value (A)
2004-03-31,1.2224,Normal value (A)
2004-03-30,1.2187,Normal value (A)
2004-03-29,1.2118,Normal value (A)
2004-03-26,1.2173,Normal value (A)
2004-03-25,1.2132,Normal value (A)
2004-03-24,1.2196,Normal value (A)
2004-03-23,1.2276,Normal value (A)
2004-03-22,1.2353,Normal value (A)
2004-03-19,1.2344,Normal value (A)
2004-03-18,1.2261,Normal value (A)
2004-03-17,1.2251,Normal value (A)
2004-03-16,1.2350,Normal value (A)
2004-03-15,1.2278,Normal value (A)
2004-03-12,1.2235,Normal value (A)
2004-03-11,1.2256,Normal value (A)
2004-03-10,1.2299,Normal value (A)
2004-03-09,1.2361,Normal value (A)
2004-03-08,1.2356,Normal value (A)
2004-03-05,1.2192,Normal value (A)
2004-03-04,1.2147,Normal value (A)
2004-03-03,1.2143,Normal value (A)
2004-03-02,1.2402,Normal value (A)
2004-03-01,1.2484,Normal value (A)
2004-02-27,1.2418,Normal value (A)
2004-02-26,1.2444,Normal value (A)
2004-02-25,1.2629,Normal value (A)
2004-02-24,1.2595,Normal value (A)
2004-02-23,1.2576,Normal value (A)
2004-02-20,1.2663,Normal value (A)
2004-02-19,1.2724,Normal value (A)
2004-02-18,1.2824,Normal value (A)
2004-02-17,1.2858,Normal value (A)
2004-02-16,1.2741,Normal value (A)
2004-02-13,1.2816,Normal value (A)
2004-02-12,1.2802,Normal value (A)
2004-02-11,1.2680,Normal value (A)
2004-02-10,1.2764,Normal value (A)
2004-02-09,1.2713,Normal value (A)
2004-02-06,1.2529,Normal value (A)
2004-02-05,1.2583,Normal value (A)
2004-02-04,1.2524,Normal value (A)
2004-02-03,1.2585,Normal value (A)
2004-02-02,1.2461,Normal value (A)
2004-01-30,1.2384,Normal value (A)
2004-01-29,1.2468,Normal value (A)
2004-01-28,1.2563,Normal value (A)
2004-01-27,1.2517,Normal value (A)
2004-01-26,1.2575,Normal value (A)
2004-01-23,1.2692,Normal value (A)
2004-01-22,1.2710,Normal value (A)
2004-01-21,1.2607,Normal value (A)
2004-01-20,1.2536,Normal value (A)
2004-01-19,1.2373,Normal value (A)
2004-01-16,1.2493,Normal value (A)
2004-01-15,1.2635,Normal value (A)
2004-01-14,1.2692,Normal value (A)
2004-01-13,1.2749,Normal value (A)
2004-01-12,1.2828,Normal value (A)
2004-01-09,1.2737,Normal value (A)
2004-01-08,1.2634,Normal value (A)
2004-01-07,1.2679,Normal value (A)
2004-01-06,1.2756,Normal value (A)
2004-01-05,1.2657,Normal value (A)
2004-01-02,1.2592,Normal value (A)
2004-01-01,-,Missing value; holiday or weekend (H)
2003-12-31,1.2630,Normal value (A)
2003-12-30,1.2496,Normal value (A)
2003-12-29,1.2499,Normal value (A)
2003-12-26,-,Missing value; holiday or weekend (H)
2003-12-25,-,Missing value; holiday or weekend (H)
2003-12-24,1.2407,Normal value (A)
2003-12-23,1.2392,Normal value (A)
2003-12-22,1.2434,Normal value (A)
2003-12-19,1.2418,Normal value (A)
2003-12-18,1.2403,Normal value (A)
2003-12-17,1.2337,Normal value (A)
2003-12-16,1.2339,Normal value (A)
2003-12-15,1.2230,Normal value (A)
2003-12-12,1.2254,Normal value (A)
2003-12-11,1.2187,Normal value (A)
2003-12-10,1.2239,Normal value (A)
2003-12-09,1.2258,Normal value (A)
2003-12-08,1.2218,Normal value (A)
2003-12-05,1.2087,Normal value (A)
2003-12-04,1.2074,Normal value (A)
2003-12-03,1.2102,Normal value (A)
2003-12-02,1.1975,Normal value (A)
2003-12-01,1.2019,Normal value (A)
2003-11-28,1.1994,Normal value (A)
2003-11-27,1.1902,Normal value (A)
2003-11-26,1.1828,Normal value (A)
2003-11-25,1.1766,Normal value (A)
2003-11-24,1.1823,Normal value (A)
2003-11-21,1.1899,Normal value (A)
2003-11-20,1.1909,Normal value (A)
2003-11-19,1.1910,Normal value (A)
2003-11-18,1.1778,Normal value (A)
2003-11-17,1.1802,Normal value (A)
2003-11-14,1.1765,Normal value (A)
2003-11-13,1.1680,Normal value (A)
2003-11-12,1.1600,Normal value (A)
2003-11-11,1.1497,Normal value (A)
2003-11-10,1.1483,Normal value (A)
2003-11-07,1.1424,Normal value (A)
2003-11-06,1.1449,Normal value (A)
2003-11-05,1.1473,Normal value (A)
2003-11-04,1.1468,Normal value (A)
2003-11-03,1.1589,Normal value (A)
2003-10-31,1.1622,Normal value (A)
2003-10-30,1.1736,Normal value (A)
2003-10-29,1.1684,Normal value (A)
2003-10-28,1.1673,Normal value (A)
2003-10-27,1.1748,Normal value (A)
2003-10-24,1.1781,Normal value (A)
2003-10-23,1.1786,Normal value (A)
2003-10-22,1.1694,Normal value (A)
2003-10-21,1.1623,Normal value (A)
2003-10-20,1.1629,Normal value (A)
2003-10-17,1.1579,Normal value (A)
2003-10-16,1.1615,Normal value (A)
2003-10-15,1.1669,Normal value (A)
2003-10-14,1.1634,Normal value (A)
2003-10-13,1.1688,Normal value (A)
2003-10-10,1.1788,Normal value (A)
2003-10-09,1.1788,Normal value (A)
2003-10-08,1.1781,Normal value (A)
2003-10-07,1.1768,Normal value (A)
2003-10-06,1.1579,Normal value (A)
2003-10-03,1.1686,Normal value (A)
2003-10-02,1.1692,Normal value (A)
2003-10-01,1.1671,Normal value (A)
2003-09-30,1.1652,Normal value (A)
2003-09-29,1.1413,Normal value (A)
2003-09-26,1.1487,Normal value (A)
2003-09-25,1.1493,Normal value (A)
2003-09-24,1.1466,Normal value (A)
2003-09-23,1.1464,Normal value (A)
2003-09-22,1.1468,Normal value (A)
2003-09-19,1.1312,Normal value (A)
2003-09-18,1.1290,Normal value (A)
2003-09-17,1.1212,Normal value (A)
2003-09-16,1.1235,Normal value (A)
2003-09-15,1.1281,Normal value (A)
2003-09-12,1.1172,Normal value (A)
2003-09-11,1.1217,Normal value (A)
2003-09-10,1.1172,Normal value (A)
2003-09-09,1.1135,Normal value (A)
2003-09-08,1.1071,Normal value (A)
2003-09-05,1.0923,Normal value (A)
2003-09-04,1.0818,Normal value (A)
2003-09-03,1.0783,Normal value (A)
2003-09-02,1.0849,Normal value (A)
2003-09-01,1.0965,Normal value (A)
2003-08-29,1.0927,Normal value (A)
2003-08-28,1.0828,Normal value (A)
2003-08-27,1.0907,Normal value (A)
2003-08-26,1.0816,Normal value (A)
2003-08-25,1.0888,Normal value (A)
2003-08-22,1.0894,Normal value (A)
2003-08-21,1.1009,Normal value (A)
2003-08-20,1.1109,Normal value (A)
2003-08-19,1.1065,Normal value (A)
2003-08-18,1.1188,Normal value (A)
2003-08-15,1.1247,Normal value (A)
2003-08-14,1.1270,Normal value (A)
2003-08-13,1.1277,Normal value (A)
2003-08-12,1.1312,Normal value (A)
2003-08-11,1.1295,Normal value (A)
2003-08-08,1.1326,Normal value (A)
2003-08-07,1.1353,Normal value (A)
2003-08-06,1.1392,Normal value (A)
2003-08-05,1.1333,Normal value (A)
2003-08-04,1.1307,Normal value (A)
2003-08-01,1.1169,Normal value (A)
2003-07-31,1.1318,Normal value (A)
2003-07-30,1.1420,Normal value (A)
2003-07-29,1.1462,Normal value (A)
2003-07-28,1.1489,Normal value (A)
2003-07-25,1.1477,Normal value (A)
2003-07-24,1.1467,Normal value (A)
2003-07-23,1.1401,Normal value (A)
2003-07-22,1.1343,Normal value (A)
2003-07-21,1.1284,Normal value (A)
2003-07-18,1.1205,Normal value (A)
2003-07-17,1.1231,Normal value (A)
2003-07-16,1.1138,Normal value (A)
2003-07-15,1.1319,Normal value (A)
2003-07-14,1.1299,Normal value (A)
2003-07-11,1.1315,Normal value (A)
2003-07-10,1.1342,Normal value (A)
2003-07-09,1.1355,Normal value (A)
2003-07-08,1.1326,Normal value (A)
2003-07-07,1.1360,Normal value (A)
2003-07-04,1.1466,Normal value (A)
2003-07-03,1.1457,Normal value (A)
2003-07-02,1.1535,Normal value (A)
2003-07-01,1.1543,Normal value (A)
2003-06-30,1.1427,Normal value (A)
2003-06-27,1.1413,Normal value (A)
2003-06-26,1.1432,Normal value (A)
2003-06-25,1.1551,Normal value (A)
2003-06-24,1.1565,Normal value (A)
2003-06-23,1.1539,Normal value (A)
2003-06-20,1.1655,Normal value (A)
2003-06-19,1.1655,Normal value (A)
2003-06-18,1.1699,Normal value (A)
2003-06-17,1.1797,Normal value (A)
2003-06-16,1.1854,Normal value (A)
2003-06-13,1.1751,Normal value (A)
2003-06-12,1.1734,Normal value (A)
2003-06-11,1.1748,Normal value (A)
2003-06-10,1.1699,Normal value (A)
2003-06-09,1.1726,Normal value (A)
2003-06-06,1.1813,Normal value (A)
2003-06-05,1.1775,Normal value (A)
2003-06-04,1.1691,Normal value (A)
2003-06-03,1.1723,Normal value (A)
2003-06-02,1.1672,Normal value (A)
2003-05-30,1.1822,Normal value (A)
2003-05-29,1.1756,Normal value (A)
2003-05-28,1.1738,Normal value (A)
2003-05-27,1.1901,Normal value (A)
2003-05-26,1.1813,Normal value (A)
2003-05-23,1.1790,Normal value (A)
2003-05-22,1.1720,Normal value (A)
2003-05-21,1.1689,Normal value (A)
2003-05-20,1.1644,Normal value (A)
2003-05-19,1.1652,Normal value (A)
2003-05-16,1.1492,Normal value (A)
2003-05-15,1.1458,Normal value (A)
2003-05-14,1.1499,Normal value (A)
2003-05-13,1.1518,Normal value (A)
2003-05-12,1.1597,Normal value (A)
2003-05-09,1.1466,Normal value (A)
2003-05-08,1.1435,Normal value (A)
2003-05-07,1.1427,Normal value (A)
2003-05-06,1.1344,Normal value (A)
2003-05-05,1.1218,Normal value (A)
2003-05-02,1.1239,Normal value (A)
2003-05-01,-,Missing value; holiday or weekend (H)
2003-04-30,1.1131,Normal value (A)
2003-04-29,1.0956,Normal value (A)
2003-04-28,1.1025,Normal value (A)
2003-04-25,1.0973,Normal value (A)
2003-04-24,1.1008,Normal value (A)
2003-04-23,1.0944,Normal value (A)
2003-04-22,1.0971,Normal value (A)
2003-04-21,-,Missing value; holiday or weekend (H)
2003-04-18,-,Missing value; holiday or weekend (H)
2003-04-17,1.0920,Normal value (A)
2003-04-16,1.0836,Normal value (A)
2003-04-15,1.0784,Normal value (A)
2003-04-14,1.0737,Normal value (A)
2003-04-11,1.0735,Normal value (A)
2003-04-10,1.0805,Normal value (A)
2003-04-09,1.0742,Normal value (A)
2003-04-08,1.0660,Normal value (A)
2003-04-07,1.0582,Normal value (A)
2003-04-04,1.0720,Normal value (A)
2003-04-03,1.0702,Normal value (A)
2003-04-02,1.0830,Normal value (A)
2003-04-01,1.0891,Normal value (A)
2003-03-31,1.0895,Normal value (A)
2003-03-28,1.0730,Normal value (A)
2003-03-27,1.0723,Normal value (A)
2003-03-26,1.0667,Normal value (A)
2003-03-25,1.0691,Normal value (A)
2003-03-24,1.0634,Normal value (A)
2003-03-21,1.0572,Normal value (A)
2003-03-20,1.0592,Normal value (A)
2003-03-19,1.0570,Normal value (A)
2003-03-18,1.0586,Normal value (A)
2003-03-17,1.0801,Normal value (A)
2003-03-14,1.0775,Normal value (A)
2003-03-13,1.0864,Normal value (A)
2003-03-12,1.1028,Normal value (A)
2003-03-11,1.1080,Normal value (A)
2003-03-10,1.1042,Normal value (A)
2003-03-07,1.1039,Normal value (A)
2003-03-06,1.0963,Normal value (A)
2003-03-05,1.0966,Normal value (A)
2003-03-04,1.0919,Normal value (A)
2003-03-03,1.0800,Normal value (A)
2003-02-28,1.0782,Normal value (A)
2003-02-27,1.0822,Normal value (A)
2003-02-26,1.0753,Normal value (A)
2003-02-25,1.0774,Normal value (A)
2003-02-24,1.0721,Normal value (A)
2003-02-21,1.0838,Normal value (A)
2003-02-20,1.0763,Normal value (A)
2003-02-19,1.0717,Normal value (A)
2003-02-18,1.0714,Normal value (A)
2003-02-17,1.0716,Normal value (A)
2003-02-14,1.0793,Normal value (A)
2003-02-13,1.0758,Normal value (A)
2003-02-12,1.0731,Normal value (A)
2003-02-11,1.0706,Normal value (A)
2003-02-10,1.0808,Normal value (A)
2003-02-07,1.0789,Normal value (A)
2003-02-06,1.0813,Normal value (A)
2003-02-05,1.0910,Normal value (A)
2003-02-04,1.0822,Normal value (A)
2003-02-03,1.0729,Normal value (A)
2003-01-31,1.0816,Normal value (A)
2003-01-30,1.0748,Normal value (A)
2003-01-29,1.0868,Normal value (A)
2003-01-28,1.0808,Normal value (A)
2003-01-27,1.0870,Normal value (A)
2003-01-24,1.0784,Normal value (A)
2003-01-23,1.0757,Normal value (A)
2003-01-22,1.0718,Normal value (A)
2003-01-21,1.0653,Normal value (A)
2003-01-20,1.0653,Normal value (A)
2003-01-17,1.0652,Normal value (A)
2003-01-16,1.0564,Normal value (A)
2003-01-15,1.0526,Normal value (A)
2003-01-14,1.0577,Normal value (A)
2003-01-13,1.0549,Normal value (A)
2003-01-10,1.0503,Normal value (A)
2003-01-09,1.0507,Normal value (A)
2003-01-08,1.0377,Normal value (A)
2003-01-07,1.0425,Normal value (A)
2003-01-06,1.0488,Normal value (A)
2003-01-03,1.0392,Normal value (A)
2003-01-02,1.0446,Normal value (A)
2003-01-01,-,Missing value; holiday or weekend (H)
2002-12-31,1.0487,Normal value (A)
2002-12-30,1.0422,Normal value (A)
2002-12-27,1.0376,Normal value (A)
2002-12-26,-,Missing value; holiday or weekend (H)
2002-12-25,-,Missing value; holiday or weekend (H)
2002-12-24,1.0296,Normal value (A)
2002-12-23,1.0282,Normal value (A)
2002-12-20,1.0255,Normal value (A)
2002-12-19,1.0273,Normal value (A)
2002-12-18,1.0240,Normal value (A)
2002-12-17,1.0307,Normal value (A)
2002-12-16,1.0212,Normal value (A)
2002-12-13,1.0221,Normal value (A)
2002-12-12,1.0156,Normal value (A)
2002-12-11,1.0067,Normal value (A)
2002-12-10,1.0111,Normal value (A)
2002-12-09,1.0093,Normal value (A)
2002-12-06,1.0006,Normal value (A)
2002-12-05,0.9991,Normal value (A)
2002-12-04,1.0018,Normal value (A)
2002-12-03,0.9967,Normal value (A)
2002-12-02,0.9871,Normal value (A)
2002-11-29,0.9927,Normal value (A)
2002-11-28,0.9934,Normal value (A)
2002-11-27,0.9927,Normal value (A)
2002-11-26,0.9910,Normal value (A)
2002-11-25,0.9905,Normal value (A)
2002-11-22,1.0024,Normal value (A)
2002-11-21,1.0034,Normal value (A)
2002-11-20,1.0019,Normal value (A)
2002-11-19,1.0125,Normal value (A)
2002-11-18,1.0065,Normal value (A)
2002-11-15,1.0029,Normal value (A)
2002-11-14,1.0095,Normal value (A)
2002-11-13,1.0068,Normal value (A)
2002-11-12,1.0081,Normal value (A)
2002-11-11,1.0126,Normal value (A)
2002-11-08,1.0107,Normal value (A)
2002-11-07,1.0013,Normal value (A)
2002-11-06,0.9955,Normal value (A)
2002-11-05,1.0024,Normal value (A)
2002-11-04,0.9944,Normal value (A)
2002-11-01,0.9974,Normal value (A)
2002-10-31,0.9864,Normal value (A)
2002-10-30,0.9825,Normal value (A)
2002-10-29,0.9820,Normal value (A)
2002-10-28,0.9745,Normal value (A)
2002-10-25,0.9763,Normal value (A)
2002-10-24,0.9738,Normal value (A)
2002-10-23,0.9775,Normal value (A)
2002-10-22,0.9768,Normal value (A)
2002-10-21,0.9748,Normal value (A)
2002-10-18,0.9735,Normal value (A)
2002-10-17,0.9763,Normal value (A)
2002-10-16,0.9823,Normal value (A)
2002-10-15,0.9810,Normal value (A)
2002-10-14,0.9873,Normal value (A)
2002-10-11,0.9857,Normal value (A)
2002-10-10,0.9875,Normal value (A)
2002-10-09,0.9814,Normal value (A)
2002-10-08,0.9800,Normal value (A)
2002-10-07,0.9808,Normal value (A)
2002-10-04,0.9865,Normal value (A)
2002-10-03,0.9890,Normal value (A)
2002-10-02,0.9835,Normal value (A)
2002-10-01,0.9861,Normal value (A)
2002-09-30,0.9860,Normal value (A)
2002-09-27,0.9779,Normal value (A)
2002-09-26,0.9796,Normal value (A)
2002-09-25,0.9771,Normal value (A)
2002-09-24,0.9828,Normal value (A)
2002-09-23,0.9831,Normal value (A)
2002-09-20,0.9790,Normal value (A)
2002-09-19,0.9814,Normal value (A)
2002-09-18,0.9725,Normal value (A)
2002-09-17,0.9649,Normal value (A)
2002-09-16,0.9683,Normal value (A)
2002-09-13,0.9810,Normal value (A)
2002-09-12,0.9757,Normal value (A)
2002-09-11,0.9749,Normal value (A)
2002-09-10,0.9760,Normal value (A)
2002-09-09,0.9794,Normal value (A)
2002-09-06,0.9918,Normal value (A)
2002-09-05,0.9975,Normal value (A)
2002-09-04,0.9947,Normal value (A)
2002-09-03,0.9910,Normal value (A)
2002-09-02,0.9821,Normal value (A)
2002-08-30,0.9833,Normal value (A)
2002-08-29,0.9843,Normal value (A)
2002-08-28,0.9826,Normal value (A)
2002-08-27,0.9774,Normal value (A)
2002-08-26,0.9701,Normal value (A)
2002-08-23,0.9697,Normal value (A)
2002-08-22,0.9770,Normal value (A)
2002-08-21,0.9762,Normal value (A)
2002-08-20,0.9792,Normal value (A)
2002-08-19,0.9799,Normal value (A)
2002-08-16,0.9825,Normal value (A)
2002-08-15,0.9777,Normal value (A)
2002-08-14,0.9857,Normal value (A)
2002-08-13,0.9799,Normal value (A)
2002-08-12,0.9780,Normal value (A)
2002-08-09,0.9729,Normal value (A)
2002-08-08,0.9687,Normal value (A)
2002-08-07,0.9698,Normal value (A)
2002-08-06,0.9689,Normal value (A)
2002-08-05,0.9836,Normal value (A)
2002-08-02,0.9873,Normal value (A)
2002-08-01,0.9760,Normal value (A)
2002-07-31,0.9783,Normal value (A)
2002-07-30,0.9835,Normal value (A)
2002-07-29,0.9821,Normal value (A)
2002-07-26,1.0008,Normal value (A)
2002-07-25,1.0014,Normal value (A)
2002-07-24,0.9915,Normal value (A)
2002-07-23,0.9910,Normal value (A)
2002-07-22,1.0086,Normal value (A)
2002-07-19,1.0146,Normal value (A)
2002-07-18,1.0058,Normal value (A)
2002-07-17,1.0064,Normal value (A)
2002-07-16,1.0127,Normal value (A)
2002-07-15,1.0024,Normal value (A)
2002-07-12,0.9873,Normal value (A)
2002-07-11,0.9836,Normal value (A)
2002-07-10,0.9898,Normal value (A)
2002-07-09,0.9930,Normal value (A)
2002-07-08,0.9828,Normal value (A)
2002-07-05,0.9725,Normal value (A)
2002-07-04,0.9790,Normal value (A)
2002-07-03,0.9780,Normal value (A)
2002-07-02,0.9838,Normal value (A)
2002-07-01,0.9913,Normal value (A)
2002-06-28,0.9975,Normal value (A)
2002-06-27,0.9824,Normal value (A)
2002-06-26,0.9917,Normal value (A)
2002-06-25,0.9712,Normal value (A)
2002-06-24,0.9781,Normal value (A)
2002-06-21,0.9636,Normal value (A)
2002-06-20,0.9592,Normal value (A)
2002-06-19,0.9561,Normal value (A)
2002-06-18,0.9484,Normal value (A)
2002-06-17,0.9426,Normal value (A)
2002-06-14,0.9478,Normal value (A)
2002-06-13,0.9417,Normal value (A)
2002-06-12,0.9452,Normal value (A)
2002-06-11,0.9417,Normal value (A)
2002-06-10,0.9459,Normal value (A)
2002-06-07,0.9452,Normal value (A)
2002-06-06,0.9386,Normal value (A)
2002-06-05,0.9371,Normal value (A)
2002-06-04,0.9435,Normal value (A)
2002-06-03,0.9313,Normal value (A)
2002-05-31,0.9387,Normal value (A)
2002-05-30,0.9375,Normal value (A)
2002-05-29,0.9320,Normal value (A)
2002-05-28,0.9255,Normal value (A)
2002-05-27,0.9190,Normal value (A)
2002-05-24,0.9188,Normal value (A)
2002-05-23,0.9213,Normal value (A)
2002-05-22,0.9260,Normal value (A)
2002-05-21,0.9213,Normal value (A)
2002-05-20,0.9202,Normal value (A)
2002-05-17,0.9152,Normal value (A)
2002-05-16,0.9124,Normal value (A)
2002-05-15,0.9030,Normal value (A)
2002-05-14,0.9062,Normal value (A)
2002-05-13,0.9118,Normal value (A)
2002-05-10,0.9118,Normal value (A)
2002-05-09,0.9061,Normal value (A)
2002-05-08,0.9088,Normal value (A)
2002-05-07,0.9125,Normal value (A)
2002-05-06,0.9144,Normal value (A)
2002-05-03,0.9083,Normal value (A)
2002-05-02,0.9032,Normal value (A)
2002-05-01,-,Missing value; holiday or weekend (H)
2002-04-30,0.9008,Normal value (A)
2002-04-29,0.9038,Normal value (A)
2002-04-26,0.8971,Normal value (A)
2002-04-25,0.8969,Normal value (A)
2002-04-24,0.8892,Normal value (A)
2002-04-23,0.8872,Normal value (A)
2002-04-22,0.8882,Normal value (A)
2002-04-19,0.8886,Normal value (A)
2002-04-18,0.8895,Normal value (A)
2002-04-17,0.8880,Normal value (A)
2002-04-16,0.8803,Normal value (A)
2002-04-15,0.8802,Normal value (A)
2002-04-12,0.8803,Normal value (A)
2002-04-11,0.8794,Normal value (A)
2002-04-10,0.8798,Normal value (A)
2002-04-09,0.8763,Normal value (A)
2002-04-08,0.8778,Normal value (A)
2002-04-05,0.8786,Normal value (A)
2002-04-04,0.8818,Normal value (A)
2002-04-03,0.8803,Normal value (A)
2002-04-02,0.8786,Normal value (A)
2002-04-01,-,Missing value; holiday or weekend (H)
2002-03-29,-,Missing value; holiday or weekend (H)
2002-03-28,0.8724,Normal value (A)
2002-03-27,0.8746,Normal value (A)
2002-03-26,0.8737,Normal value (A)
2002-03-25,0.8759,Normal value (A)
2002-03-22,0.8795,Normal value (A)
2002-03-21,0.8817,Normal value (A)
2002-03-20,0.8814,Normal value (A)
2002-03-19,0.8829,Normal value (A)
2002-03-18,0.8792,Normal value (A)
2002-03-15,0.8853,Normal value (A)
2002-03-14,0.8803,Normal value (A)
2002-03-13,0.8734,Normal value (A)
2002-03-12,0.8733,Normal value (A)
2002-03-11,0.8741,Normal value (A)
2002-03-08,0.8797,Normal value (A)
2002-03-07,0.8764,Normal value (A)
2002-03-06,0.8712,Normal value (A)
2002-03-05,0.8682,Normal value (A)
2002-03-04,0.8649,Normal value (A)
2002-03-01,0.8679,Normal value (A)
2002-02-28,0.8651,Normal value (A)
2002-02-27,0.8649,Normal value (A)
2002-02-26,0.8682,Normal value (A)
2002-02-25,0.8724,Normal value (A)
2002-02-22,0.8747,Normal value (A)
2002-02-21,0.8701,Normal value (A)
2002-02-20,0.8743,Normal value (A)
2002-02-19,0.8692,Normal value (A)
2002-02-18,0.8715,Normal value (A)
2002-02-15,0.8705,Normal value (A)
2002-02-14,0.8693,Normal value (A)
2002-02-13,0.8731,Normal value (A)
2002-02-12,0.8753,Normal value (A)
2002-02-11,0.8794,Normal value (A)
2002-02-08,0.8740,Normal value (A)
2002-02-07,0.8664,Normal value (A)
2002-02-06,0.8664,Normal value (A)
2002-02-05,0.8683,Normal value (A)
2002-02-04,0.8644,Normal value (A)
2002-02-01,0.8632,Normal value (A)
2002-01-31,0.8637,Normal value (A)
2002-01-30,0.8642,Normal value (A)
2002-01-29,0.8624,Normal value (A)
2002-01-28,0.8578,Normal value (A)
2002-01-25,0.8663,Normal value (A)
2002-01-24,0.8767,Normal value (A)
2002-01-23,0.8856,Normal value (A)
2002-01-22,0.8830,Normal value (A)
2002-01-21,0.8840,Normal value (A)
2002-01-18,0.8810,Normal value (A)
2002-01-17,0.8819,Normal value (A)
2002-01-16,0.8817,Normal value (A)
2002-01-15,0.8922,Normal value (A)
2002-01-14,0.8927,Normal value (A)
2002-01-11,0.8919,Normal value (A)
2002-01-10,0.8909,Normal value (A)
2002-01-09,0.8921,Normal value (A)
2002-01-08,0.8909,Normal value (A)
2002-01-07,0.8905,Normal value (A)
2002-01-04,0.8954,Normal value (A)
2002-01-03,0.9036,Normal value (A)
2002-01-02,0.9038,Normal value (A)
2002-01-01,-,Missing value; holiday or weekend (H)
2001-12-31,-,Missing value; holiday or weekend (H)
2001-12-28,0.8813,Normal value (A)
2001-12-27,0.8823,Normal value (A)
2001-12-26,-,Missing value; holiday or weekend (H)
2001-12-25,-,Missing value; holiday or weekend (H)
2001-12-24,0.8798,Normal value (A)
2001-12-21,0.8943,Normal value (A)
2001-12-20,0.8973,Normal value (A)
2001-12-19,0.8983,Normal value (A)
2001-12-18,0.9012,Normal value (A)
2001-12-17,0.9049,Normal value (A)
2001-12-14,0.9016,Normal value (A)
2001-12-13,0.8975,Normal value (A)
2001-12-12,0.8938,Normal value (A)
2001-12-11,0.8908,Normal value (A)
2001-12-10,0.8850,Normal value (A)
2001-12-07,0.8911,Normal value (A)
2001-12-06,0.8889,Normal value (A)
2001-12-05,0.8919,Normal value (A)
2001-12-04,0.8902,Normal value (A)
2001-12-03,0.8925,Normal value (A)
2001-11-30,0.8898,Normal value (A)
2001-11-29,0.8887,Normal value (A)
2001-11-28,0.8831,Normal value (A)
2001-11-27,0.8788,Normal value (A)
2001-11-26,0.8818,Normal value (A)
2001-11-23,0.8795,Normal value (A)
2001-11-22,0.8778,Normal value (A)
2001-11-21,0.8791,Normal value (A)
2001-11-20,0.8824,Normal value (A)
2001-11-19,0.8793,Normal value (A)
2001-11-16,0.8845,Normal value (A)
2001-11-15,0.8825,Normal value (A)
2001-11-14,0.8803,Normal value (A)
2001-11-13,0.8842,Normal value (A)
2001-11-12,0.8919,Normal value (A)
2001-11-09,0.8930,Normal value (A)
2001-11-08,0.8972,Normal value (A)
2001-11-07,0.9014,Normal value (A)
2001-11-06,0.8961,Normal value (A)
2001-11-05,0.8961,Normal value (A)
2001-11-02,0.9056,Normal value (A)
2001-11-01,0.9097,Normal value (A)
2001-10-31,0.9042,Normal value (A)
2001-10-30,0.9064,Normal value (A)
2001-10-29,0.9005,Normal value (A)
2001-10-26,0.8911,Normal value (A)
2001-10-25,0.8889,Normal value (A)
2001-10-24,0.8917,Normal value (A)
2001-10-23,0.8887,Normal value (A)
2001-10-22,0.8969,Normal value (A)
2001-10-19,0.9009,Normal value (A)
2001-10-18,0.9026,Normal value (A)
2001-10-17,0.9022,Normal value (A)
2001-10-16,0.9052,Normal value (A)
2001-10-15,0.9097,Normal value (A)
2001-10-12,0.9040,Normal value (A)
2001-10-11,0.9062,Normal value (A)
2001-10-10,0.9136,Normal value (A)
2001-10-09,0.9193,Normal value (A)
2001-10-08,0.9214,Normal value (A)
2001-10-05,0.9174,Normal value (A)
2001-10-04,0.9117,Normal value (A)
2001-10-03,0.9209,Normal value (A)
2001-10-02,0.9189,Normal value (A)
2001-10-01,0.9125,Normal value (A)
2001-09-28,0.9131,Normal value (A)
2001-09-27,0.9205,Normal value (A)
2001-09-26,0.9219,Normal value (A)
2001-09-25,0.9176,Normal value (A)
2001-09-24,0.9164,Normal value (A)
2001-09-21,0.9200,Normal value (A)
2001-09-20,0.9259,Normal value (A)
2001-09-19,0.9258,Normal value (A)
2001-09-18,0.9256,Normal value (A)
2001-09-17,0.9269,Normal value (A)
2001-09-14,0.9219,Normal value (A)
2001-09-13,0.9060,Normal value (A)
2001-09-12,0.9052,Normal value (A)
2001-09-11,0.8964,Normal value (A)
2001-09-10,0.9047,Normal value (A)
2001-09-07,0.8952,Normal value (A)
2001-09-06,0.8855,Normal value (A)
2001-09-05,0.8891,Normal value (A)
2001-09-04,0.8970,Normal value (A)
2001-09-03,0.9072,Normal value (A)
2001-08-31,0.9158,Normal value (A)
2001-08-30,0.9095,Normal value (A)
2001-08-29,0.9122,Normal value (A)
2001-08-28,0.9042,Normal value (A)
2001-08-27,0.9090,Normal value (A)
2001-08-24,0.9108,Normal value (A)
