Date,Value
1989-11-30,1.66111108991835
1989-10-31,1.66111108991835
1989-09-30,1.58333333333333
1989-08-31,1.58333333333333
1989-07-31,1.58333333333333
1989-06-30,1.44444444444444
1989-05-31,1.44444444444444
1989-04-30,1.44444444444444
1989-03-31,1.66666666666667
1989-02-28,1.66666666666667
1989-01-31,1.66666666666667
1988-12-31,1.79444461398654
1988-11-30,1.79444461398654
1988-10-31,1.79444461398654
1988-09-30,1.88888888888889
1988-08-31,1.88888888888889
1988-07-31,1.88888888888889
1988-06-30,1.91666666666667
1988-05-31,1.91666666666667
1988-04-30,1.91666666666667
1988-03-31,2.0
1988-02-29,2.0
1988-01-31,2.0
1987-12-31,2.12999979654948
1987-11-30,2.12999979654948
1987-10-31,2.12999979654948
1987-09-30,2.12999979654948
1987-08-31,2.12999979654948
1987-07-31,2.12999979654948
1987-06-30,2.12999979654948
1987-05-31,2.12999979654948
1987-04-30,2.12999979654948
1987-03-31,2.12999979654948
1987-02-28,2.12999979654948
1987-01-31,2.12999979654948
1986-12-31,3.43999989827475
1986-11-30,3.43999989827475
1986-10-31,3.43999989827475
1986-09-30,3.43999989827475
1986-08-31,3.43999989827475
1986-07-31,3.43999989827475
1986-06-30,3.43999989827475
1986-05-31,3.43999989827475
1986-04-30,3.43999989827475
1986-03-31,3.43999989827475
1986-02-28,3.43999989827475
1986-01-31,3.43999989827475
1985-12-31,3.81000010172525
1985-11-30,3.81000010172525
1985-10-31,3.81000010172525
1985-09-30,3.81000010172525
1985-08-31,3.81000010172525
1985-07-31,3.81000010172525
1985-06-30,3.81000010172525
1985-05-31,3.81000010172525
1985-04-30,3.81000010172525
1985-03-31,3.81000010172525
1985-02-28,3.81000010172525
1985-01-31,3.81000010172525
